原序号	English	保留字面形式	使用规则
327	MVCC	是	正文保留 MVCC；首用 多版本并发控制（MVCC）。
328	Nearest Neighbor Search	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
329	Nested Loop	按语境	EXPLAIN 节点文字保持原样。
330	Nested Loop Join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
331	network partitions	按语境	指节点间通信被分隔，不是主动划分数据。
332	No-Wait Locks	按语境	NOWAIT 语法保留。
333	Non-Atomic Writes	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
334	Non-Equi-joins	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
335	Non-greedy	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
336	non-key	按语境	索引包含列、非键列更新不应混为同一概念。
337	Non-Object Locks	按语境	不要由该名称推导锁完全不关联任何内部资源。
338	Non-Parallelizable Queries	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
339	non-recursive term	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
340	Non-Repeatable Read	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
341	non-reserved	按语境	不可将所有非保留词直接视为普通标识符。
342	NULL Values	按语境	空值不等于空字符串、零或空数组。
343	OAuth Token	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
344	Object Identifiers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
345	OCC	是	正文保留 OCC。
346	offset number	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
347	OID	是	正文保留 OID；oid 类型名保留。
348	operator	按语境	本表保留操作符；代码符号或具体操作符名不翻译。
349	operator class	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
350	operator family	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
351	Optimistic Concurrency Control	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
352	ordered-set aggregate	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
353	ordering	按语境	因果顺序、全序与查询 ORDER BY 需分别表达。
354	Other Data Types	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
355	Other Rebuilding Methods	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
356	Outer Joins	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
357	Page Header	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
358	Page Layout	按语境	标题与正文一致。
359	Page Locks	按语境	具体内部锁与事务锁机制按正文定义。
360	Page Pruning	按语境	HOT 语境。
361	page replacement algorithms	按语境	缓冲区管理语境。
362	Page Structure	按语境	页和页面在此含义相同，标题用页面结构；page 代码标识符不译。
363	pages	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
364	parallel index build	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
365	Parallel Index Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
366	Parallel Mode	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
367	Parallel Plans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
368	Parallel Sequential Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
369	Parameter Binding	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
370	parameterized (index) path	按语境	规划器语境。
371	Parameterized Joins	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
372	parameterized path	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
373	parse tree	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
374	Parser	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
375	partial aggregation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
376	partial index	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
377	Partial Mode	按语境	首用可释义为支持部分聚合的模式。
378	partition bounds	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
379	partition key	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
380	Partition pruning	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。首选“分区剪枝”；“分区裁剪”“分区修剪”仅作旧译检索，须按本版英文确认是 partition pruning，保留其规划期与执行期条件。
381	partitioned table	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
382	partitioning	按语境	不要把网络分区、表分区和分片混为一谈。
383	partitioning method	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
384	peer group	按语境	窗口函数中仅按窗口 ORDER BY 键判断行是否同等，不要求整行各列相等；没有 ORDER BY 时相应分区中的行均为同等行。
385	percentiles	按语境	表示分布分位值的 percentiles 译为百分位点，不限于 DDIA；不与百分比、输入的 percentile fraction 或 percentile rank 混淆。discrete percentile 等完整词条按其自身规则处理，函数名保留。
386	performance	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
387	pd_checksum	是	依据原中文及官方页头结构认定此条指 pd_checksum；仅作术语表勘误，原文若出现 pg_checksum 必须核对所指，不能自动改代码。
388	pd_flags	是	依据原中文及官方页头结构认定此条指 pd_flags；pg_flag 作为旧拼写记录，不作为可直接替换代码的合法别名。
389	pg_lsn	是	类型名保留；首用 pg_lsn 类型（用于表示 LSN）。
390	Phantom Reads	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
391	phantoms	按语境	事务异常现象可译幻读；若原文明确指查询结果中新增或消失的行，则按上下文写幻影行；Phantom Reads 固定译幻读。
392	Physical Structure	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
393	pin count	按语境	缓冲区 pin/refcount 语境，区别置换算法的 usage count；具体计数单位按对应版本实现说明。
394	pinned	按语境	缓冲区钉住用于防止所需缓冲区被回收或复用，不等于禁止所有并发读写；状态可在句中写已钉住。
395	PITR	是	正文保留 PITR。
396	plan node	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
397	plan tree	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
398	Planner	按语境	不因泛 IT 常用优化器而强制替换全部 planner。
399	Pluggable Storage Engines	按语境	架构比较须说明具体系统支持边界。
400	Point-In-Time Recovery	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
401	postgres server process	按语境	泛指产品写 PostgreSQL。
402	PostgreSQL Server	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
403	postings list	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
404	precedence graph	按语境	用于事务调度顺序与冲突判定，不是语法优先级图。
405	predicate lock	按语境	在 PG 中按实际冲突跟踪机制解释。
406	preferred types	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
407	prepared statements	按语境	区别预备事务；PREPARE 命令和协议消息保留。
408	prepared transactions	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
409	primary	按语境	primary key 是主键，primary role 等短语需单独判断。
410	primary server	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
411	primary servers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
412	Prior Checkpoint Location	按语境	原始命令输出保持拼写和大小写，需按对应 PG 版本核对。
413	privilege system	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
414	probe	按语境	哈希连接 probe 可写探测；不得替换 DTrace probe 中已定型的探针。
415	procedural languages	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
416	pruning	按语境	优先匹配完整复合词条。
417	publication	按语境	CREATE PUBLICATION 中的关键字与对象标识符不翻译。
418	push-down	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
419	qualified name	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
420	query tree	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
421	Quicksort	按语境	EXPLAIN 输出中的 quicksort 保留。
422	quorum	按语境	按原文区分满足条件的参与者集合与所需确认数量，quorum size 可译法定数量；PG ANY 规则不等同固定的简单多数。字面枚举 quorum 保留。
423	Range Summarization	按语境	BRIN 块范围语境。
424	range type	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
425	Read Committed	按语境	正式说明中可补英文隔离级别名。
426	read replicas	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
427	read skew	按语境	不要与统计偏度或数据倾斜混译。
428	read-after-write consistency	按语境	不要擅自加强成所有客户端都立即读到最新写入。
429	Read-Only Queries	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
430	rebalancing	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
431	recency guarantee	按语境	不自动等同实时一致性；必要时写数据新鲜度保证。
432	records	按语境	record 类型关键字保持原样。
433	Recovery	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
434	recovery target	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
435	recursive term	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
436	REDO log	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
437	REDO Point	按语境	输出中的 REDO location 等字面字段保持原样。
438	refactoring	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
439	referential integrity	按语境	本次保留既有译法；不能简化成一般的数据一致性。
440	Regular Index Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
441	regular set	按语境	正则表达式定义语境。
442	relation	按语境	不要在全部上下文替换成表。
443	Relation Extension Locks	按语境	必要时说明为关系文件扩展锁。
444	Relation-Level Locks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
445	Relations	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
446	relfilenode	是	标识符保留；PG 16+ 源码 RelFileLocator 不混改。
447	reliability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
448	Repeatable Read	按语境	PG 实际保证以相应版本文档为准，不照搬其他数据库行为。
449	replay	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
450	replica	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
451	Replication	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
452	Replication Associated Process	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
453	replication slot	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
454	rescan	按语境	ReScan 函数名保留。
455	resource manager	按语境	不能等同操作系统的文件资源管理器。
456	response time	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
457	RETURNING list	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
458	Rewriter	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
459	ring buffer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
460	row constructor	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
461	row security policies	按语境	与 row-level security 行级安全并存。
462	Row-Level Locking Modes	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
463	Row-Level Locks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
464	row-level security	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
465	row-type	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
466	rw-conflict	按语境	不要与写-读依赖或任何两操作时间先后简单等同。
467	S2PL	是	正文保留 S2PL；strict 与 rigorous 变体按原文。
468	Sampling	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
469	savepoint	按语境	保留别名行 save-point；SAVEPOINT 关键字在 exclude.tsv。
470	scalability	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
471	schema	按语境	不用架构一词机械替换；一般数据 schema 的语境需另判。
472	Schemas	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
473	search path	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
474	secondaries	按语境	不替换 secondary indexes 这类复合词。
475	secondary	按语境	二级索引不是备库索引；优先匹配完整短语。
476	secure schema usage pattern	按语境	schema 仍译模式；本章节 usage patterns 写使用方式，其他语境可继续使用模式。保留模式的安全使用方式这一完整译名，去除替换遗留的中文词内空格；必要时重排句子避免多层的字结构，不改变原文的推荐对象和适用条件。
477	select list	按语境	本次保留，以免混同 SELECT output list 和内部 target list；SELECT 关键字保留。
478	SELECT output list	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
479	Selectivity	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
480	secondary server	按语境	仅在 primary/secondary 角色语境使用。
481	secondary servers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
482	self-referential	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
483	Semi-joins	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
484	sequence object	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
485	Sequential Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
486	serializability	按语境	事务调度性质，不是数据编码的序列化；Serializable 隔离级别仍译可串行化。
487	Serializable	按语境	SQL SERIALIZABLE 关键字原样保留。
488	Serializable Snapshot Isolation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
489	serialization	按语境	serialization failure 译串行化失败；serialization function 译序列化函数。
490	serialization anomalies	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
491	serialization function	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
492	serialization graph	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
493	Server Programming Interface	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
494	Service discovery	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
495	service time	按语境	排队等候时间是否计入以原文定义为准。
496	Sharding	按语境	不能据词条暗示 PostgreSQL 核心自带某种分片协调机制。
497	Shared Modes	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
498	shared-disk architecture	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
499	shared-memory architecture	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
500	shell type	按语境	首用 shell 类型（占位类型）。
501	SI	是	正文保留 SI；仅限事务隔离语境。
502	siblings	按语境	按对象组词：兄弟节点、兄弟函数、同级页。
503	Simple Query Protocol	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
504	skew	按语境	数据或负载分布不均用倾斜；统计量不对称性可为偏度，统计信息失真可为偏差；clock/read/write skew 按完整词组译时钟/读/写偏差。
505	SLA	是	正文保留 SLA。
506	slave	按语境	历史原文按其术语解释；代码和协议标识符不改。
507	slaves	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
508	Smart Shutdown	按语境	不是基于智能算法自适应选择关闭时机；smart 参数保留。
509	snapshot isolation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
510	Snapshot Structure	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
511	Snapshots	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
512	sort operator	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
513	sort path	按语境	具体 Path 类型名保持原文。
514	source of truth	按语境	single source of truth 才考虑单一权威数据源。
515	Special Space	按语境	pd_special 保留；首用可释义为供索引访问方法使用的区域。
516	speculative insertion	按语境	ON CONFLICT 的并发实现语境；相关状态与函数名保留。
517	spin lock	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
518	split brain	按语境	具体描述并发主节点及分区行为，不据名称省略故障条件。
519	SQL/MED	是	正文保留 SQL/MED。
520	SR	是	仅当原文使用 SR 时保留缩写，首用 流复制（SR）。
521	SSI	是	正文保留 SSI。
522	standby	按语境	完整词组优先；standby mode 与普通设备 standby 分开。
523	standby mode	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
524	standby query consistency	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
525	standby server	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
526	standby servers	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
527	standbys	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
528	START TIME	是	backup_label 字段保留。
529	START TIMELINE	是	backup_label 字段 START TIMELINE 保留；中文用于解释备份开始时的时间线。
530	START WAL LOCATION	是	字段保留。
531	start-up	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
532	startup process	按语境	其恢复和重放职责应由正文解释。
533	state transition functions	按语境	聚合机制中的状态更新函数；不把所有 transition 都译转移，触发器 transition table 仍为过渡表。函数和参数名保持原样。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。
534	state values	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
535	Statistics	按语境	统计量的具体数值可按语境称统计量。
536	stop-the-world	按语境	不能未经说明理解成暂停整台机器或全部集群。
537	storage parameters	按语境	参数名与参数值保持原文。
538	streaming	按语境	Streaming Replication 才译流复制；执行语境可写流式处理。订阅设为 streaming = parallel 时，max_parallel_apply_workers_per_subscription 控制对流式传入的进行中事务进行并行应用的程度，不能省略应用动作或改成传输并行度；参数名、设置字面形式及各版默认值保持原样。
539	Streaming Replication	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
540	Strict Two-Phase Locking	按语境	通常 strict 与 strong strict/rigorous 对持锁范围的要求有区别；不要混同两阶段提交。
541	strong consistency	按语境	说明具体可见性、顺序与事务保证。
542	struct	是	struct 原样保留；正文 structure 译结构或结构体。
543	sub-partitioning	按语境	不必将所有出现改成名词。
544	subscription	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
545	Subtransactions	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
546	suffix truncation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
547	switch-over	按语境	区别故障切换；具体实现是否无中断由正文决定。
548	switchover	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
549	sync_priority	是	列名保留。
550	sync_state	是	列名 sync_state 和 sync、async、quorum 等枚举值保持原样。
551	System Catalog	按语境	可在首用说明系统目录表；目录名称如 pg_class 保留。
552	Table Access Methods	按语境	不要直接替换成完整的存储引擎接口。
553	table alias	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
554	table expression	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
555	Tablespace	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
556	target list	按语境	不一定与用户 SELECT 输出列表逐项相同，可能含内部辅助项。
557	temporary tuple storage	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
558	throughput	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
559	TID	是	正文保留 TID。
560	Timeline History Files	按语境	实际文件名与扩展名保持原样。
561	TimeLineID	是	TimeLineID 作为 C 类型保留；旧词头 TimelineID 仅作检索记录，原文 timelineId 等变量名必须保留实际拼写。
562	Token	按语境	SQL 词元、OAuth 令牌、分词结果和代码 token 字段分别处理。
563	TOAST	是	正文保留 TOAST。
564	Top-N Heapsort	按语境	EXPLAIN 输出的 top-N heapsort 字面形式不翻译。
565	total order	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
566	total order broadcast	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
567	transaction	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
568	Transaction Horizon	按语境	首次解释具体边界或最老相关事务，不要仅凭词面判定为某个固定 XID 字段。
569	transaction id	按语境	xid、txid 代码名保留。
570	Transaction ID Wraparound	按语境	区别回滚 rollback。
571	transaction isolation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
572	transaction log	按语境	按原文明确日志类别。
573	transaction snapshot	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
574	Transformation	按语境	不能自动等同 cast 或 serialization。
575	transition relations	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
576	transition tables	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
577	trusted	按语境	trust 参数值保留；不要把 trusted 理解为绝对安全。
578	trigger	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
579	Trigrams	按语境	限定 pg_trgm 的字符级 trigram；首用三字符组（trigram），解释空格填充等提取规则；旧译三元组作别称。泛 NLP 的词级 trigram 另按上下文处理。
580	tuple	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
581	tuple identifier	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
582	Tuples	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
583	two-phase commit	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
584	two-phase in-memory hash join	按语境	算法构建/探测阶段与两阶段提交、两阶段加锁无关。
585	txid	是	txid 保留。
586	txid wraparound	按语境	保留别名行 txid wrap around；回卷不译回滚。
587	type categories	按语境	与首选类型配套；typcategory 列名保留。
588	typed table	按语境	不是泛指任何拥有列类型的表。
589	unbundling	按语境	不宜译成解包而让人误以为压缩包操作。
590	UNDO log	按语境	不要暗示 PostgreSQL 使用其他数据库同构的传统 UNDO 子系统。
591	unlogged	按语境	说明性正文可写不记录 WAL 的表；UNLOGGED 关键字保留。指相应关系的普通数据变更，不能推导其创建、初始化等全部操作完全不产生 WAL。
592	unpinned	按语境	动作 unpin 写解除钉住。
593	unqualified names	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
594	update rules	按语境	按规则系统原文确定 INSERT、UPDATE、DELETE 覆盖范围。
595	usage patterns	按语境	一般语境译使用模式；schema 所在章节可译使用方式，与模式的安全使用方式一致。
596	user mapping	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
597	VACUUM	是	VACUUM 原样保留；说明性 vacuum 译清理。
598	vacuum processing	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
599	valid bit	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
600	Value Insertion	按语境	标题采用插入值；句中按语法表达，不因英文名词结构而强制改成值插入。INSERT 关键字和示例保持原样。
601	VALUES clause	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
602	Version vectors	按语境	不与任意实现中的向量时钟无条件等同。
603	victim page	按语境	指置换算法选中的待淘汰页，亦可解释为待置换页；不是损坏页，也不表示选中后必然立即淘汰。
604	view	按语境	VIEW 关键字及具体视图名不翻译。
605	Virtual Transactions	按语境	若原文实际指 virtual transaction ID，应补 ID；virtualxid 标识符保留。
606	Visibility Check	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
607	visibility check rules	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
608	visibility map	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
609	VM	是	正文保留 VM；虚拟机语境不适用。
610	Wait Queue	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
611	WAL Buffer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
612	wal data	按语境	代码或变量名 wal_data 保留。
613	WAL Levels	按语境	级别规定记录信息范围，不是一般日志严重程度。
614	WAL Modes	按语境	不能擅自把 WAL Modes 视为和 wal_level 完全相同的官方字段名。
615	WAL Segment	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
616	WAL segment file	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
617	WAL Setup	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
618	WAL Structure	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
619	walreceiver	是	进程名与 backend_type 值保留。
620	walsender	是	walsender 作为名称保留；正文可解释为 WAL 发送进程。
621	warm standby	按语境	不要仅凭 warm 推断同步复制或零数据丢失。
622	warm-standby	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
623	window frame	按语境	区别 window partition；帧的范围由 ROWS、RANGE 或 GROUPS 决定。
624	window function	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
625	working table	按语境	不暗示它是用户可直接操作的持久表。
626	wr-conflicts	按语境	与读-写反依赖分开，不把所有冲突都译成写冲突。
627	write amplification	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
628	write skew	按语境	区别丢失更新和数据分布倾斜。
629	write-ahead log	按语境	WAL 缩写保持原文；写前顺序由机制说明。
630	ww-conflict	按语境	具体冲突裁决不由该术语本身决定。
631	xlog record	按语境	现代概念说明可写 WAL 记录；XLog 类型、函数或旧路径不能全局改名。
632	included column	按语境	INCLUDE 子句中的非键列；included attribute 同语境译为内含属性。普通“包含列名”“包含属性”不是本术语。SQL INCLUDE、列名、参数及示例保留。
633	aggressive vacuum	按语境	指清理操作，区别 aggressive scan 的激进扫描；aggressive vacuum scan 可译为激进清理扫描。实际 VACUUM 命令及配置项保留，不把所有含“激进”的句子改成同一译名。
634	aggressive scan	按语境	仅用于扫描动作，区别 aggressive vacuum 的完整清理操作；按对应版本保留全冻结页面、触发年龄与计数条件，命令和参数保持原样。
635	half-dead	按语境	用于页面的中间状态，区别已删除页面与死元组、死索引条目；实际标志名、程序、错误消息和原始输出保持原样。
636	hash partitioning	按语境	hash、Hash、HASH 按 exclude.tsv 及原文大小写保留，Hash Partitioning 标题可译为 Hash 分区。仅适用于本版英文的分区语境；不改写 Hash Join、hash slots 等已有完整词条或实际关键字。
637	insert vacuum	按语境	用于插入计数触发的清理及其阈值，不表示 INSERT 操作内执行清理。实际参数名、示例、公式标签及本版功能边界保持原样。
638	initplan	按语境	普通说明性文字中的 initplan 译为初始计划；按本版原文区分于一般子计划。EXPLAIN 输出、代码及作为实际计划标签或内部名称的 InitPlan / InitPlans 保留原拼写，不改写 SubPlan、字段或查询示例。
639	buffer access strategy	按语境	普通说明性文字中的 Buffer Access Strategy 及其复数译为缓冲区访问策略；首次引介可保留括注英文。保留实际代码类型 BufferAccessStrategy、字段、选项、配置项及原始输出，不能因为包在 literal 标签内就漏译普通概念。按各版原文保留环形缓冲区大小、默认值、失效保护及是否支持相关选项的区别。
640	grantee	按语境	普通授权说明中的 grantee 及其复数统一为被授权者，沿用 ACL 函数说明的现有译法，涵盖角色而不只登录用户。保留实际列名、函数参数和 ACL 格式占位符 grantee；描述被授予权限或成员资格的角色时可按原句译出，不把标识符替换为中文。
641	derived table	按语境	表表达式、子查询和连接结果中的 derived table 及其复数统一为派生表，沿用查询章现有译法；不把生成表、普通生成动作、derived data 或基本表混为一谈。保留本版表别名要求、SGML 结构、代码和标识符。
642	composite column	按语境	说明复合类型的列及其字段访问时，沿用行类型章稳定译法复合列，复数相同；不译组合列，不与复合键、多列组合或单个字段混淆。代码、标识符和各版本 SGML 保持自身原文。
643	dollar quoting	按语境	普通说明中的 dollar quoting、dollar-quoting 统一为美元引用，dollar-quoted 译为美元引用的，沿用语法章稳定译法；不混用美元符引用或美元符号引用。按原文区分对整个函数体加引用与在函数体内部引用固定文本；保留美元符号本身、定界符、标签、代码、字面量及选项 --disable-dollar-quoting。首次引介可括注英文。
644	out-of-line storage	按语境	TOAST、字段值及其存储表示中的 out-of-line、out of line 统一为行外，沿用位串类型和 SP-GiST 说明的稳定译法；存储策略对照中的 external 可按同一语境写行外。SQL 命令文本之外独立传递的参数不是 TOAST 行外存储，保留其完整说明；不改写实际选项、标识符、代码及路径。
645	in-line storage	按语境	TOAST 和字段存储中的 in-line、inline 统一为行内；不混同编译器函数内联、内联处理器、匿名代码块或 SQL 脚本的内联数据。PLAIN、MAIN、EXTENDED、EXTERNAL 等实际存储策略名称及各版允许压缩和行外存储的条件保持本版原文。
646	toasted	按语境	说明性正文中的 toasted、TOASTed 及由 acronym 标签拆分的对应形式统一为经过 TOAST 处理，按句式补入的、已等成分；沿用既有 SP-GiST 及发行说明译法。保留实际函数、宏、错误消息、代码与输出中的 toast/TOAST，不把 TOAST 处理一律等同于压缩或行外存储，不改写 detoast 的实际标识符。
